text,label,0.5
Hay VP Binay. Sa advertisements pa lang nangloloko ka na. Pano pa kaya 'pag naluklok ka na sa pwesto?!,1,Filipino
Tangina nung pulis ?? puta sumbong kita kay lolo binay ?? #PSYLabanNiYna  #PushAwardsKathNiels,1,Filipino
Bago matulog: #1 si Duterte ,n/a
Pagkagising: Presidente na si Roxas ,Filipino
AY POTA HINDI WALANG MATUTULOG! #Election2016,1,n/a
"Yung commercial ni BINAY. Ano yon, nilalait ba siya o pinupuri? Anggulo bessy ????",1,Filipino
"So It Begins...The ""Tall Tales &amp; Yellow Journalism"" Versus Mar Roxas!https://t.co/uOHkmOsQW3 https://t.co/k02jTvlH8P",0,English
NAKU!! Nagkwento na ng buhay si Binay sa tvc! Ikakabagsak mo yan!!,1,Filipino
@ihateposh Mar Roxas went against Pfizer. I don't know of many others who could do the same. @meddie26blue @NoOtherNicky @pinoymommy,0,English
"Puñeta!! Dahil ayaw namin kay Duterte maka-Roxas,Poe, at Binay kami? Defensor kami mga puñeta!",1,Filipino
"Binay, Binay... Just keep quiet.  https://t.co/lzPSAVfUB8",0,English
"Binay echoes @senmiriam: Courts must prove guilt of those accused of corruption, wrongdoing. Both are lawyers. #PHvote",0,English
Only Binay wola hahaha Kurakot Lord sa Makati :3,1,Filipino
RT @cocoy: Grace Poe misunderstood this or was that her ignorance showing?  https://t.co/C32TjX6SNc,1,English
"Naloloka ko kay Binay , gusto niya si Alden gumanap sa movie ng buhay niya? srsly?!!! #MyBebeLoveShootingDay2",1,Filipino
PUTANGINA PANGALAWA SI MAR ROXAS TANGINA MO MANDU,1,n/a
Trillanes this one ia for you! Duterte till the end. Abscbn worst station #Du30 #Duterte2016 https://t.co/1wK4a2ldvu,0,English
Binay hits Aquino administration for ‘sin’ of poverty: Vice President Jejomar Binay blamed the ... https://t.co/E7qiLcIiPi (via Inquirer),0,English
"Wala akong pake kung pang-ilan sa Mar Roxas, ang mahalaga nangunguna si Duterte!?? #Election2016 #TeamDuterte",0,Filipino
My extended family are going to vote for Binay this coming election ?????????? https://t.co/Rn98wp3sOV,0,English
RT @markAlvinSNTS: Only Binay  Only Binay,n/a
STFU!!!!!,n/a
PAKER KA PO! HAYUP !,1,n/a
"Binay on Yolanda rehab: Di maganda, disorganized. Nagkasigawan pa nakikialam daw ang ibang Cabinet member (via @ayeemacaraig)",0,English
Binay will not abolish a good pro poor program,English
#OnlyBinayPriority4Ps,0,n/a
NogNog!!!!,n/a
Pandak!!!!,n/a
Yan si Binay :),n/a
#President!,0,English
"Citizens must not forget this: ""You're a Romualdez and the President is an Aquino"" -Mar Roxas. WHERE IS HUMANITY?! #notoroxas",1,English
"Dear Binay, why are you even on that debate?! You wasted 1 minute of my life",1,English
Ang Pagbabago ay c VP Binay #OnlyBinayMagAangatSaTacloban,0,Filipino
Ano tong nababalitaan kong nangunguna na daw si Mar Roxas? ??,0,n/a
Nakakatakot maging presidente si Binay. Baka lahat ng ipagawang proyekto may pangalan nya ??,1,Filipino
RT @Politiko_Ph: Trillanes sets record straight on conflict with Binay: Hindi kami magkaaway… https://t.co/EgOE8aDRAr @nancybinay @mayormon…,0,n/a
Binay bulok bugo. @jejomarbinay  KNG IMO NING TWITTER REPLY KO PUTA KA,1,n/a
"VP Binay, naintindihan mo ba yung tanong o ayaw mo lang talaga sagutin? Smh.",1,Filipino
Walang pwdng manghusga kay VP Binay dahil cia lng ang Mayor na may isang salita #OnlyBinayInMakatiSanKaPa,0,Filipino
"""the fate of a Binay presidency: if many perceive Binay bad now, his regime is bound to be badder."" #spareusfromEVIL #SpareusfromBinay",1,English
"Sarap sabihan ng ""murit mo loko!"" yung TVC ni Mar Roxas!",1,Filipino
Wala kayong karapatang siraan si Mar Roxas! Hindi nyo alam kung ano ang mga nagawa niya sa bayan. Wala kayong... https://t.co/gdCelLpotV,0,Filipino
Kinulang POE yata padulas ni Binay. Sablay plano eh. ??????  https://t.co/haL8DZwt5N,1,n/a
"Vice President Binay, Sen. Honasan here at Cainta for UNA sortie. @PhilippineStar #BilangPilipino https://t.co/nJ7tveSDc3",0,English
You know binay is SO DUMB!  PAG WALANG TAX WALA TAYO PAMBAYAD SA UTANG NATIN SA IBANG BANSA !,1,n/a
"Vote buying in different names... ""envelopes"", ""incentives"", etc... T.T#Poe2016 #RoRo #Halalan2016 #Election2016 #duterte #Duterte2016",1,English
Tumatawa lang si Binay habang pumapalahaw ang karamihan sa mga isyu na sa bandang huli eh walang kwenta naman. #NoToBinay,1,Filipino
LP standard bearer Mar Roxas on Comelec rift: They are mature people. they can solve it on their own. | @alexisbromero,0,English
"Anyone between Santiago, Roxas and Poe. Utang na loob wag lang si Duterte ??????????",0,English
NAKAKAASAR YUNG COMMERCIAL NI BINAY. Pota,1,n/a
"@tr1pnautic you can say that, but i've never heard of #binay being concerned about the welfare of others before. it's atypical of him.",1,English
Binay stares at forfeiture case from anti-laundering body https://t.co/WIUrebOlxu #Manila #News #Asia,0,English
Mar Roxas ?? puro bot2 ???? Du30 ta kay tinud.anay ??,0,n/a
"Mar Roxas: Mula ""Sick Man of Asia"" tayo ngayon ay kinikilalang ""Asia's Bright Star"" na. #IkawNaBaRoxas  https://t.co/h1SCfB4wIr",0,Filipino
"If I were to vote:Duterte's out of my list after all the statements unfit for a statesman. The others are meh (Poe, Binay, Mar)Go Miriam!",0,English
The Office of the Ombudsman has affirmed the criminal charges against VP Binay and Mayor Jun Jun Binay for the Makati Carpark project.,0,English
RT @kelchan25: MAR ROXAS and LENI ROBREDO 2016,0,n/a
#Binay2016: The question is not whether Binay is bad but whether he will be badder - Rappler https://t.co/ggxXq4ONev,1,English
It's not altruistic and sympathetic to see Binay eating in public places with homeless and poor citizens.#tryingHard,1,English
May bago nanamang ad si Binay ????,0,English
Parang tanga ng patalastas nung kay Binay,1,Filipino
Paasa si Binay kanina.Nag escape na kami sa klase para lang makita siya.Pero wala!3 hours ho yun??????,0,Filipino
Wag ka talagang mandaya Mar Roxas 10M+ ang susugod sayo kapag nandaya ka! ??????,1,Filipino
Tuloy ang krusada vs Binay—Sen. Trillanes https://t.co/QEvm1iZPgn,0,English
@omgitsfelixx si Binay 'yan. Hahaha,0,n/a
SI BINAY? .?? https://t.co/A7NnSUzWEe,0,n/a
@KeiDought ipa chopchop si Binay.,1,English
"UNA Makati bets: Monsour Del Rosario, D1 rep; Luis Campos, D2 rep; Monique Lagdameo, vice mayor; Abby Binay, mayor https://t.co/PQr4Wpv8LW",0,n/a
Yung strategy niyo po obvious na yan. Duterte tapos Roxas kaya png mahabol. Tapos sa huli si Roxas lalabas. Edi wiw! Pati kay marcos at leni,1,Filipino
"Facing the Comelec en banc, the non-LP Mar Roxas said: ""Nandito ako para mag-withdraw na. Para di na ako... https://t.co/ROgpU0wt30",0,English
"‘GIVE IT UP, MAR, IF YOU CHEAT YOU’LL DESTROY THIS COUNTRY’ - An Open Letter To Mar Roxas https://t.co/OsPUVQEsNZ",1,English
"Mar Roxas, dalhin muna dito si DJ sa ROXAS CITY!!! LOVEYOU",0,n/a
"Binay appeals graft indictment, says it’s meant to ruin 2016 run https://t.co/SUK904POpM via @inquirerdotnet",0,English
"If you won't vote for Duterte, vote for Miriam. Don't waste your votes on Roxas. #DayaangDILAW #Election2016 #MIRIAMforPRESIDENT",1,English
"Duterte fans, 'wag pakasisiguro.Mar fans, partial pa lang yan.Poe fans, same to you.Binay fans, 'wag bitter.Miriam fans, stay classy.",0,English
Nognog hahahaha dahil ki binay,1,Filipino
Binay hired an Olivia Pope! Daming pera! https://t.co/Cw3fT3vPbl,1,English
Trend Alert: 'Only Binay'. More trends at https://t.co/dRwxiUtCOV #trndnl https://t.co/s09bdZz5M9,0,n/a
"Sarap puksain ng mga Binay, walang kwentang mga tao. Kasing itim ng budhi ang kutis. Punyeta",1,Filipino
"Toni: ""Ano ang katangian niyo kung kaya't dapat kayong maging Big Winner?""Binay: ""Nognog, pandak, at laki sa hirap.""",0,Filipino
If Mar Roxas will win. the purge will be begin #DayaangDILAW ??,1,English
@Politiko_Ph Puro lang sila bintang at labas ng issue na walang katotohanan para siraan si VP Binay. #PHVoteBinay,0,Filipino
"Duterte - 631,814 votesRoxas - 360,198 #Election2016",0,n/a
Roxas at Trillanes magtago na kayo uunahin kayo ni Digong ??????,1,Filipino
Papa: nako kung si binay ang iboboto mo wag ka na bumoto hano.,Filipino
Sis: kamukha mo yun e hindi ko talaga iboboto yon.,Filipino
HAHAHAHAHAHA BASAG!,1,n/a
Taeng ARANETA nakakaDILAW. HAHA! Bahay ata ni Mar Roxas yun e ????,1,Filipino
1 word challenge,English
Señeres kay PNoy: Childish,Filipino
Binay: personification,n/a
Baldoz: no enforcement,English
Honrado: dismissed,n/a
#DZMMTeleIkawNaBa #Halalan2016,0,English
I am petitioning an EDSA People Power if Mar Roxas wins. I swear to God. My will is for the truth.,1,English
Watch what Mar Roxas has in store got our people! #RoxasRobredo https://t.co/8S9WMUKsV7,0,English
#ICYMI: Vice President Jejomar Binay on Health #PiliPinasDebates2016 https://t.co/endnwmUnMj,0,English
RT @Politiko_Ph: Alma Moreno lured out of planned retirement by Binay’s juicy offer,English
https://t.co/7taZqZZyPy,n/a
@VPJojoBinay @UNAmediadvisory,0,n/a
@inazara salamat sa walang sawa suporta nyo kay VP Binay! ,Filipino
#OnlyBinayUNAsaSamar,0,n/a
"Matagal ng hindi INC si Kathryn, kaya paki-tigilan na yung memes niyang ""paid to advertise mar roxas but her religion says duterte""",0,English
Bakit ganon? yung boto ni Mar Roxas napaka taas? Nataasan pa si Boss Nognog!,1,Filipino
@_Tadashi_Hamada lumalamang si Binay ah. Haha,0,English
@casandratindoy @fratelle_ why even MAR ROXAS????,0,n/a
kung hindi si Miriam ang manalo kahit Mar Roxas na lang.,0,Filipino
Natatawa si Mama sa TVC ni Binay. Haha,0,Filipino
"@FloresPilita Pamatong and d other looney's have no chance of getting elected, but Poe could be alternative to Roxas and Binay",0,English
"Si Gomez, suportado si Liberal Party standard bearer Mar Roxas. #Eleksyon2016",0,n/a
Duterte or Santiago ? Hirap ah.,0,n/a
@michcruzada gago walang ganun ???? kay binay lang may discount libre pa nga ??????,0,Filipino
THE MANILA TIMES Headlines [Saturday - 11.14.15]:,n/a
-Gun permits suspended ,English
-Binay: Let’s set aside politics,n/a
-‘Jet... https://t.co/LU5kaIp4Lj,0,n/a
@suigeneris_05 Errata: Binay pa rin ang may pinakamataas na distrust at disapproval ratings.,1,English
Hindi ko matanggap na nasa bottom spot si MDS. I mean  come on mas mataas pa si Roxas and si Binay sa kanya?? PLEASE,1,Filipino
Binay wins as the president of the Philippines.,English
#ShortHorrorStory,1,English
ANG DAMING COMMERCIAL NI MAR ROXAS!!!,n/a
#KaUmay,1,n/a
"mar, binay, poe - you ask an apology to the public.duterte - done. mar, binay, poe  - you are a threat to democracy. duterte - utang na!",1,English
#TSOpinion Do you think Mar Roxas still has a strong chance of winning the May elections? https://t.co/FUkpJEMkD0 https://t.co/OkPbPzqIJQ,0,English
Ina Andolong on Mar Roxas' camp: They have a difficult time increasing his numbers | Network News https://t.co/sf2fOeFCpX #TheFilipinoVote…,0,English
Mar Roxas wag ka ng umasa na may makukuha ka pang boto sa mga biktima ng Yolanda. Di mo sila mauuto. Hayup kayong mga nasa administration.,1,Filipino
"Oo, hindi ako botante pero may karapatan akong magsalita at pake ako dahil Piipino rin ako.#Election2016 #GracePoe #Duterte #Miriam",0,Filipino
"Poe can't do a Mar Roxas. She can't sacrifice for the sake of the country. To that, she is consistent: #SariliBagoBayan",0,English
"In 3 to 6 months, lahat ng pera nyo nasa bank account ko na.- Jejomar Binay#PiliPinasDebates2016",1,English
@ABSCBNNews dyan naman kayo magaling e. Puro allegations kay VP Binay tsk,English
#OnlyBinayParehoTayo,1,n/a
Di ako natulog kasi baka pagising ko si Binay na presidente. Huehue,0,Filipino
PUNEMAS!!! PANG GULO LANG SI BINAY SA KALSADA. PLS LANG. ????????,1,n/a
"@mgvtrb @interaksyon At first, i thought it was Binay's making to attack the Admin. Due to recent events, my conclusion, it was his making.",1,English
"RT @TropangMARangal: Mar Roxas to the 12,000 gathered at the PMCC event in Cavite: We are our brothers' keepers. https://t.co/pA5hOY3Wjc ht…",0,English
"Duterte pa rin,,kahit magsama pa Poe at roxas.... #AyawSaDilaw",1,English
GAGO SI TYLER?,n/a
GAGO SI DUTERTE!,n/a
Kung kailan malapit na #Halalan2016 NAGKAKALAT #PHVoteDuterte!,n/a
He's going DOWN till #PHVotePoe WINS! #PHVote,1,English
Lonely binay.. Lonely binay ????,1,n/a
VP Binay is winner in providing good leadership in the country. #OnlyBinayBFF,0,English
@marianmatibag @junyyyyyyy Bading yun! Parang si Binay! Hahahaha.,1,Filipino
"RT @punyeta_quotes: Magkaibang magkaiba yang si Binay at si Alma. Si Binay, nognog. Si Alma, moreno.",0,n/a
Laban sa kahirapan.Iyan ang ginagawa ni Binay !,Filipino
#OnlyBinayPriority4Ps,0,n/a
"Because I'm petty - only MDS was singing the national anthem. Poe was the first to put her hand on her chest. Duterte, the last. #phdebate",0,English
[NATION] VP Binay says allegations would backfire to accusers https://t.co/V869JLiTwD | via GMA News,0,English
"Calling Presendiables Roxas, Binay, Poe, Santiago and all their supporters... Kung masama ang ginagawa ni Duterte... https://t.co/RlCHIl2QIw",1,English
3 STOOGES --IS IT TRUE THESE YELLOW ABS-CBN STOOGES IN MAR ROXAS' AD ARE NOT EVEN DULY-REGISTERED VOTERS??,n/a
#3STOOGES https://t.co/cGzXh0Yy6a,1,English
@tynnxx pangalan ko sa obituaries Sandra Binay,0,Filipino
Sa tingin kaya ni Mar Roxas ang #LaglagBala ay isang simpleng problema lang? Nasaan ang malasakit mo o ang utak mo? National concern yan!,1,Filipino
"""Only Binay"" pucha kailan matatapos to?! ????",1,n/a
HAHAHAHAHAHAHA NATATAWA TALAGA AKO. BULAG-BULAGAN SYA KAY BINAY https://t.co/u7Zj7nOhrc,1,n/a
We are not stupid MR. MAR ROXAS we know how you prepared for this election you spent billions just to win.  #DayaanMOVES,1,English
MY WISH FOR VICE PRESIDENT JEJOMAR C. BINAY https://t.co/p0u2YJvwXq,0,n/a
"No matter what VP Binay says that he is for the poor, he can't still explain how he became rich. Left and right he  #PoliticsPH",0,English
Researching facts about Binay. This man has an impressive resumé despite all allegations against him.,0,English
Hoi Binay wag mo ina-ano si Karen ayaw niya sayo. ?? #PiliPinasDebates2016,1,Filipino
Bakit di makasagot si Binay ng yes or no dun s tanung na kung ikukulong si duterte #LessTeenMoreKingDJP,n/a
#ShowtimeFreshStart,0,English
"""@Senyora: Lakas Binay! Lakas! http://t.co/465HLd1gyR"" - Hahaha shutaa ????",1,n/a
Mali nalang ba ni Mr. Binay ang nakikita niyo ? Subukan niyo kayang tignan ung naitulong niya. Hindi lahat ng Suspicion nila ay totoo .,0,Filipino
Negro man ako pero hindi kita susuportahan binay ./.,1,n/a
DATU MAR ROXAS???  WHAT THE...!!! #EpalMoves #susMARyosep,1,n/a
"Retweeted TV Patrol (@TVPatrol):#TVPatrol VP Binay, iginiit na wala siyang kinalaman sa desisyon ng anak sa... https://t.co/vNsZqJLH9y",0,Filipino
Global Pinoys: Will #Binay be the 4th TraPo PResident? The destiny of the Country is in YOUR HANDS! https://t.co/1qaZUyalTn,1,English
Nakaka umay na yung pag mumukhang nila Mar Roxas at Binay ??,1,Filipino
ngayon ko lang nakita tong si binay ngumiti ng ganito ulet ha hmm?,0,Filipino
Kampo ni Roxas inalok ng 100Mphp ang Aldub para iendorso siya? Hoy Mar Roxas mahiya ka naman uy! Saan niyo ninakaw ng amo mong panot yan?,1,Filipino
"nognog,pandak, laki sa hirap,pero maraming nagawa. ganyan si binay ??????",0,n/a
Doubt Mar himself is behind these court cases on Poe and cancer attack on Duterte. Mar seems like a largely well-meaning guy even if a trap,0,English
"Naka over take si Mar Roxas, I see.",1,English
ONLY Binay.,n/a
One Negro Like You. Binay.,1,n/a
Pag si Binay naging presidente wala nang magkakalan puro de uling na lahat. ??,Filipino
#NogNogHambog,1,n/a
"Seriously, Mar Roxas needs a makeover. You don't have to be Olivia Pope to notice.",1,English
This Binay Nognog ad. Wtf! Kairita!,1,English
Nako Mar Roxas!Bakit naging pangalawa ka ??!tsk.tsk. alam na,1,Filipino
Buhay party-list representative Lito Atienza now giving his speech. His party list is supporting Binay. #PHvote https://t.co/1AbF4Ri8ba,0,English
Nog nog pandak hahaha binay,1,n/a
Pero grabe nasasaktan talaga ako sa commercial ni binay ano bang problema nyo sa nognog? Hahahaha,1,Filipino
Mar Roxas for President!!!! Rody Duterte Maniac!!! Ang maniac kagaya ko galit sa kapwa maniac na kagaya mo!!! on... https://t.co/5kfAgguoek,1,Filipino
please please please don't let the whole 'rigged in favor of mar roxas' be true,1,English
"Either Poe or Roxas I really don't mind, basta wag si Duterte please. So many years of progress and we'll trade it in for backwardness?",1,English
NAKAKABANAS YUNG BAGONG COMMERCIAL NI BINAY AMP ??????,1,n/a
"Sinungaling na binay to! Para po sa inyong kaalaman mister vice president, we are living in an age where... https://t.co/IbQ4p1YHWp",1,English
Soliman campaigned for LP – Binay camp https://t.co/ti32WyQQ0J #Manila #News #Asia,0,English
"Hala??? BOBO ba si Mar Roxas, or BOBO lang?Boboto mo 'to? #BOBOorBOBO? (at Barangay Ususan) [pic] — https://t.co/J4Grniofkz",1,English
#WalangiwananMar... Nobody else but Mar! #RoxasRobredo2016,0,English
"""Ang pagiging pangulo ay hindi OJT."" -Mar Roxas #PiliPinasDebates2016 #PresidentialDebate2016",0,English
Nognog,n/a
Pandak,n/a
Laki sa hirap,Filipino
Pero di tulad ng iba maraming nagawa,Filipino
Yan si binay...,0,n/a
"Until the last vote is counted, I WILL NOT GIVE UP HOPE!! #RoxasRobredo  https://t.co/LmxELnHulw",0,English
Sana pag tinignan ko si Binay last time ko na makakita ng corrupt na sinungaling. ?? https://t.co/7skFBlsx6C,1,Filipino
Hindi mo ikakapanalo yung paglalakad effect mo binay ????,0,Filipino
@ClaireSuzon I don't give a f about her educational background. Kay Miriam Santiago lang ako humanga dahil sa narating niya &lt;3,1,English
Yung advertisement ni Binay. stress,1,English
Cayetano bares conspiracy bet. Poe and Roxas to air negative TV ads vs Duterte as election day nears. | @mikefrialde #OnlyInThePhilippines,0,English
"Pwedeng iyong bumuto kay Miriam, Poe, Roxas, Binay, at Duterte ..VP nila si Leni! For a lot of reasons!#LeniTheRealVP#LabanLeni",0,English
bat sa dame ng pwedeng suportahan ni Gloc-9 si Binay pa.,0,Filipino
#Binay pengeng bente pls! https://t.co/M4atq0cQ1h,0,n/a
Yung boyfriend kong galit na galit kay Binay ??????,1,Filipino
"Low yield mar roxas, naungusan pa ni binay haha oops pero wag masyado kampante!!! Things happen when you least expect them!",0,n/a
Strange that the Binay family didnt venture into that kind of business...  Direct line for Epal moves... https://t.co/YRJogLstYm,1,English
"Only under this ""climate of manufactured fear"" did Mar Roxas become a viable candidate. And he scared himself shitless.",1,English
RT @profmssyj: The question is not whether Binay is bad but whether he will be badder via @rapplerdotcom https://t.co/XMjhsAPnuo,1,English
"WALA AKONG PAKE KUNG MAHIRAP KA NOON, BINAY. WALA.",1,n/a
Baka paggising namin si Mar Roxas na leading #WagGanun https://t.co/nEZBS6lbvK,1,English
#HalalanResults aantayin ko na maging 20m kay duterte tapos 7m lang kay roxas tapos matutulog na ako??????,0,Filipino
NIRERESPETO PARIN KITA BILANG TAO PERO BILANG MAR ROXAS KADIRI KA TANGINAMO BOBO! HAHAHAHAHAHA https://t.co/MtkelWSUe3,1,n/a
@letlabrador opo!! Duterte-Santiago po sana no. VP si Miriam. Lupet non,0,n/a
Diko na sasayangin boto ko?? si Si #Binay binoto ko dati as VP.pero wala ring magandang ginawa????,Filipino
#DU30forPresident,1,n/a
RT @TedPylon: Kahit sino wag lang ang magnanakaw na sk Binay. Ikaw siguro nagtanong sakin nito... @Neil_Kardashian http://t.co/4j1XkhIUzI,1,Filipino
"They try to bring DUTERTE down. But sorry, DUTERTE TILL THE END.",0,English
"Matagal na tong issue na to kay vp binay a, bakit ngayon palang kakasuhan???",1,Filipino
"RT teddyboylocsin: NCR survey, 1,136 respondents: With Duterte as sub: Duterte33%, Binay21%; Poe13%, Roxas7%, Sabio (who he?), 6%, Santiago…",0,English
Roxas and Trillanes keep throwing words like dictatorship and martial law around.,0,English
Yamot ako sa ad ni Binay sa T.V. ??,1,Filipino
Hindi ko na talaga tanggap to! Naunahan pa ng mga corrupt na binay at roxas na yan si Ms. Miriam! Grabe talaga #MIRIAMforPRESIDENT,1,Filipino
"dami mong sinasabi mr. roxas, baka nakalimutan mo na inaya mo yung ibang candidates na magkaisa against duterte.",0,Filipino
Pakyu binay ha. Tigil tigilan mo na yang political ads mo. ????,1,n/a
"Options for President? First is Miriam Defensor Santiago, and second is Mar Roxas.",0,English
Know it from the start that Mar Roxas is the second choice of most Filipinos over Du30.,0,English
@anweydaniella mga maala Mar Roxas nga. HAHHAAH.,0,Filipino
Nognog... Pandak...,n/a
What is Binay trying to prove with his self-depreciation ad??? ??,1,English
The fact that ABSCBN accepted the offer to launch the Anti Duterte ad made others realize how biased they are. ABSCBN WORST STATION !!!,1,English
Only Binay,n/a
Hasn't conceded,0,English
"To win, Mar Roxas needs to 1.) fire his PR manager 2.) get a good stylist.",0,English
Desperate move for Mar Roxas. To think that May 9th is just around the corner. He gotta do what he gotta do even when it's dirty. #bullshit,1,English
On top of Duterte,n/a
All covered with Chiz,English
I lost my poor Binay,English
When Miriam sneezed,n/a
#2016NurseryRhymes,0,n/a
HAHAHAHAHAHA. MAJOR SAVAGE FOR BINAY. https://t.co/iATgCyjfbG,0,n/a
Just passed by what appears to be the poorest part of Makati. Only Binay.,1,English
2 of the country's top 3 corrupt families - Marcos at Estrada. Binay na lang trifecta na. Bolahan na ba? Tsk! https://t.co/ZVdf4O3CGV,1,English
shet ibabalik yung martial law at take note mas papahirapan tayo ngayon pag si duterte nanalo ?? GRACE POE AKO,1,Filipino
"I would rather have that to answer for than charges of plunder, Senator Grace Poe on citizenship issue (Gigi Grande's report on TV Patrol)",0,English
Fucking Mar Roxas!,1,n/a
and thus explaining yourself #binay — naging corrupt ka dahil sa pinanggalingan mong poverty. message is clear... https://t.co/aq9zRJFpwg,1,English
Binay appeals graft indictment https://t.co/SBLY71bFRW #Manila #News #Asia,0,English
Ano mar? basag ka ngayon kay binay ??,1,Filipino
