text,hate label,language label,0.5,0.6,0.7,0.8,0.9
LP to Binay: Where did you get the P600M you spent on TV ads? | https://t.co/Crkqho2mPm | Philippine News https://t.co/68hAdQCt8q via @po_st,0,English,English,English,English,English,n/a
"@omeng414 @ADMDShippersOFC @erlyn21 basahin ko padin, panu kung ma retweet ko nanaman yung kay BINAY?

ADN FOR MAINE
#VoteMaineFPP #KCA",0,Filipino,n/a,n/a,n/a,n/a,n/a
"He is just endorsing Mar Roxas, hindi naman niya kau pinipilit na iboto siya. 
#RespectDJPDecisionForMarRoxas",0,Filipino,English,English,English,English,English
#Roxas2016 #RoxasRobredo #SwitchtoMar  https://t.co/fbIzaMOoUr,0,English,English,n/a,n/a,n/a,n/a
"Madami naman natulungan si Binay, kesa kay dut3rt3.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@aisaraaap gago hindi! Hahahaha. Mga anti-Binay girl.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
#UNTVRepaso2015 CA dismisses Junjun Binay’s petition against Ombudsman suspension order [2-11-2015] [NY-A1710],0,English,English,English,n/a,n/a,n/a
Yown! 1st time nag vote. #DapatTama #eleksyon2016 #gracepoe2016 #gracepoeforpresident https://t.co/omJ5hXVHVj,0,Filipino,English,n/a,n/a,n/a,n/a
@Jessalipopsx Duterte Roxas Poe Binay Santiago ang Rank,0,English,Filipino,Filipino,Filipino,Filipino,Filipino
@rapplerdotcom salamat sa UNA camp. we fought a good fight guys VP Binay pa rin tlga,0,Filipino,n/a,n/a,n/a,n/a,n/a
#OnlyBinayParehoTayo kung lumaki man taung mahirap c VP Binay din ay lumaki ng mahirap,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mar Roxas TANG INA TUWID NA DAAN DAW .. EH SYA NGA DI STRAIGHT,1,Filipino,English,n/a,n/a,n/a,n/a
@rapplerdotcom putangina mo binay TAKBO PA,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Nognog? Pero nognog din ang nag malasakit? Wtf? Tangina mo Binay nagpapaawa kapa! Hahahahaha #Nognog ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Srsly. How can Binay do away with no tax for those earning PhP 30k and below without any compromises? Nkklk talaga!,1,English,English,English,English,English,English
"Sen Grace Poe, puro ka puso. Kaya lugmok bansa natin sa kahirapan at corruption. Puro puso. Walang utak.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @KarlNative: Sa laki ng ginastos ni Binay tapos sa laki din ng talo niya sa Mayo, siya pa din tameme sa ending ng kwento. Yun na! https:…",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
ENDO na para kay PNoy. No extension para sa kanyang Mar Roxas! #DuterteTillTheEnd,1,Filipino,n/a,n/a,n/a,n/a,n/a
"Ang kakapal ng mga mukha niyo PNoy at Roxas, matapos niyong batikusin si Poe at Binay sila naman ang yayain niyo? Anu toh Civil War?",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Eh di wow! Talagang gamit na gamit yung ""PANDAK""? SUS! IBA NA LANG BINAY! WAG KAME!  https://t.co/GboiJfHXPZ",1,Filipino,n/a,n/a,n/a,n/a,n/a
Parang walang gustong maka tandem ni mar roxas sa liberal party dahil alam nilang mahihirapang manalo si roxas.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
ITO NAMAN SI MAR ROXAS PARANG P***** i** ???? MAKIKIPAG SANIB LANG KAY POE PARA TALUNIN SI DUTERTE ? #DuterteTillTheEnd,1,Filipino,n/a,n/a,n/a,n/a,n/a
Nakakairita na tong mga commercial ni binay. ??????,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Mar Roxas, handang humarap sa panibagong imbestigasyon ng Mamasapano clash https://t.co/vx7Obja5TQ",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"BINAY NA KANG TALAGA AKO. Nognog, pandak, laki sa hirap.",1,Filipino,n/a,n/a,n/a,n/a,n/a
Talagang mas pinili nila si ROXAS at BINAY over MDS. WTF!!! ?????? #Election2016,1,Filipino,n/a,n/a,n/a,n/a,n/a
Lt yung tvc ni binay haha ??,1,,n/a,n/a,n/a,n/a,n/a
"Pati ba naman Picos Machine, binayaran ni Mar Roxas??????",1,Filipino,English,English,English,English,English
pinaka walang kwenta sa debate na to si binay. nakakaloka..puro ka nanaman makati. #pilipinasdebate2016,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Over motherly naman 'tong si Poe. Yung masungit at mahigpit na nanay ang kelangan ng Pilipinas para may disiplina. #PiliPinasDebates2016,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Nalito yung pari kung san pa pwede paitimin si Binay. Nagtagal tuloy misa. Cause of delay ka, VP! Hala!  https://t.co/IqSB85tQAA",1,Filipino,English,English,English,English,English
"Nung si Binay ginisa sa UPLB, tuwang tuwa kayo. Nung kandidato niyo na, bastos na estudyante ng UPLB.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT @_NEILcutter: my goodness Jejomar Binay super annoying mo na can you pls stop like really. Oo na laki ka sa hirap punyeta ka,1,English,English,English,English,English,English
Bets should be ready but wrong to bash Alma Moreno for interview —VP Binay #http://ift.tt/1lySbjY https://t.co/efOLgJwM6T,0,English,English,English,English,n/a,n/a
I WAS REALLY IRRITATED OF BINAY'S ANSWER. IT DIDN'T MAKE SENSE TO ME.,1,English,English,n/a,n/a,n/a,n/a
Say goodbye to your presidential ambitions Mar. Your Mar Roxas Trains can't even support your contrived image. https://t.co/oSp5sFX8CL,1,English,English,English,English,English,n/a
"BETA | #NEWSROOM5: EPAL MOVES? BINAY, ROXAS, ROBREDO, BINISITA ANG MGA BINAGYO

For more videos, visit us... https://t.co/Et9jYW0B5d",0,Filipino,n/a,n/a,n/a,n/a,n/a
NALSS AKO SA CAMPAIGN SONG NI BINAY WTH ANONG MALI SAKIN :(((,1,Filipino,n/a,n/a,n/a,n/a,n/a
"Tapos nagtataka tayo kung bakit andaming naloloko ng mga tulad ni Marcos at Binay. 
Eh ganun din naman tayo, Iba lang ang pinapansin.
??",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Pacquiao and Moreno for Binay's senatorial line up *face palm*,1,English,English,English,English,n/a,n/a
Bakit dahil kay Binay... hindi masyadong kita ang kilay sa sobrang itim ang kulay?,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"WATCH | Daniel Padilla interviews Mar Roxas, gets mixed reviews https://t.co/61eyq1w6MF",0,English,English,English,English,n/a,n/a
"FUCK YOU NOYNOY, FUCK YOU MAR ROXAS WALA MOY PULOS YAWA MO.",1,Filipino,n/a,n/a,n/a,n/a,n/a
Not sure why Binay isn't giving up. He's 10M behind Duterte and there's just less than 10M votes that's yet to be counted. #Halalan2016,0,English,English,English,English,English,English
Tangina naman yung ad ni Binay nakabwisit!,1,Filipino,English,English,English,English,English
Binay’s big promise: No income tax for workers earning P30K monthly and below: Vice President Jejomar Binay vo... https://t.co/hOmPUO1AQ8,0,English,English,English,English,n/a,n/a
@dekstrauss @JLequin ganyan tlga basta puro at walang bahid. ehh? *grace poe tone* hahaha,1,Filipino,n/a,n/a,n/a,n/a,n/a
"""Ano masasabi mo sa performance ni Binay sa recent presidential debate?""

Me: https://t.co/sPnrx3pXm2",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Tangina ka Enrile. Di naman masyadong halatang solid binay supporter ka. #MamasapanoSenateHearing,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@suigeneris_05 Errata: Binay pa rin ang may pinakamataas na distrust at disapproval ratings.,1,Filipino,English,English,English,English,English
Introduction mo Mar Roxas panay paninira lang sa kapwa mo kandidato. ?? #PiliPinasDebates2016 #TeamReplay,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
I VOTE ROXAS #Halalan2016 Mar Daang Matuwid RORO RISING All things are possible if you believe.,0,English,English,n/a,n/a,n/a,n/a
Nakakairita commercial ni Binay!!!,1,Filipino,English,English,English,English,English
Plastic na mapapel pa. #tangina mo Mar Roxas! https://t.co/MJPIduwd9M,1,Filipino,n/a,n/a,n/a,n/a,n/a
"""@ANCALERTS: Sen. Binay: UNA had nothing to do with Poe residency issue"" Wag mo kami gawing tanga at wag kang magmalinis. Ano kami, bobo?",1,Filipino,English,English,English,English,English
Si Binay yung kaklase mong nag top 1 nung Kinder pero hanggang college niyayabang niya. Lels.,1,Filipino,English,English,English,English,English
"SO IT'S DUTERTE TILL THE END. JUST DONT CHEAT, YELLOWS! ?????? #Pilipinas2016 #PHVote2016 #PHVoteDuterte #PHVoteRoxas https://t.co/o3W8Rw3jeo",1,English,n/a,n/a,n/a,n/a,n/a
"RT @mightynicknick: Feel ko glutha na kailangan ni Binay hindi na pagiging Presidente. Putek paulit ulit! Puro ""nog nog"" naririnig ko sa mg…",1,Filipino,n/a,n/a,n/a,n/a,n/a
VP Binay tikom ang bibig sa pahayag ni Sen. JV Ejercito na si Sen. Grace Poe ang susuportahan ng kanyang ama na si Erap |via Allan Francisco,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT TVPatrol: KILALANIN: Vice President Jejomar Binay https://t.co/f5rM68MvaX #Halalan2016 https://t.co/EwAtt7ShBc,0,English,English,n/a,n/a,n/a,n/a
"Ito si Binay

Hindi sya nagchachat sa kung sino sino at sinasabing ""Kuya/Ate palike naman po nito"".

'Di kupal si Binay

Tularan si Binay",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
TAE TAE TAE TALAGA! Nice Ad. Haha,1,Filipino,n/a,n/a,n/a,n/a,n/a
@a7xrica Yun nga eh. Pero may sakit si Miriam. Ang hirap nito hati na mga boto sa kanila baka manalo pa tuloy si Binay.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
This is what I fear. A population of the Philippines is stupid enough to vote for Binay. PLEASE don't let that happen.,1,English,English,English,English,English,English
Only binay only binay sino pa ba? Only binay,0,English,n/a,n/a,n/a,n/a,n/a
I'll not lead an uprising if Binay wins — Trillanes https://t.co/EXPhhaO7R6,0,English,English,English,English,English,n/a
PAGHILOM MAR ROXAS BI. PAKYU,1,Filipino,n/a,n/a,n/a,n/a,n/a
"""Tignan mo to si Binay kung ano akong kwento nanaman iniimbento"" -Mudang ??",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
How did Binay manage to afford all this even after his accounts were frozen? Who does he owe? https://t.co/Em01B1ju02,0,English,English,English,English,English,English
"If the 2016 elections was a race between Mayor Rodrigo Duterte and former DILG Secretary Mar Roxas, who would... https://t.co/WmW8xmoR2J",0,English,English,English,English,English,English
Bagay na bagay kayo promise para kayong anak ni Binay??,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Ilang kilometro na nalakad ni Binay? Other than that, this debate won't be as good as TV5's. Karen is a disappointment #PiliPinasDebates2016",1,English,English,English,English,English,English
Roxas mentions Daang Matuwid,0,Filipino,English,English,English,English,English
@zaicajane kayo nalang ni binay. forever kayo eh. XD azar,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mabuhay binay aba. Hahahahaha Hayop,1,Filipino,n/a,n/a,n/a,n/a,n/a
"@cnnphilippines The reason Mar Roxas can't increase his numbers is that he is dumb and stupid and lacks sincerity, factors that can't be hid",1,English,English,English,English,English,English
"Binay &amp; Roxas kung hindi kayo mananalo, SHUT UP nalang kayo.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Binay to PH Business Expo: I hope should you invite me again next year, I'd be the President of the Philippines. #PHvote",0,English,English,English,English,English,English
"Not Binay, Poe, Roxas, but Santiago. #Miriam2016",0,English,n/a,n/a,n/a,n/a,n/a
"""Ang boboto kay Binay, tanga.""-taxi driver, ang hard. Haha! :)))",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
DUTERTE TILL THE END,0,English,n/a,n/a,n/a,n/a,n/a
@gmanews kung  walang cortuption walang poverty. isis isip ka naman binay @koy_lan,1,Filipino,English,English,English,English,English
"Oh ayan mga bobo. Gagawin bayan ni binay , mar , poe , ? SALITA! ./. https://t.co/nhEKwUzQJn",1,Filipino,n/a,n/a,n/a,n/a,n/a
ang layo ng mga sagot ni binay pota,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Say NO to plunderers! A BIG NO to Binay!!!  https://t.co/oRSNYZ3k1V,1,English,English,English,n/a,n/a,n/a
"""POE, Putangina mo umuwe kana"" - Duterte",1,Filipino,n/a,n/a,n/a,n/a,n/a
"I think we all KNOW who Noy's ""secret candidate"" is. *cough*BINAY*cough* https://t.co/dVPmhyRSjv #DaangMatuwid #CoryFavorite",0,English,English,English,English,n/a,n/a
"@Senyora Ang medjo nakakatakot manalo si Robredo baka ipa-impeach nya si Duterte.. eh galamay yan ni Roxas ,isama na si Trillanes.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
edi si Binay na pandak. nyeta parang ako hindi ah? nanyo! HAHAHAHAHAHAHAHAHAHA bwiset!,1,Filipino,n/a,n/a,n/a,n/a,n/a
"Pabebe ka ng taon DUTERTE sige tumakbo ka ng maghati boto niyo nila POE , MIRIAM at IKAW, at nang manalo pa si BINAY -_- dahil sa gagawin mo",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@jeiyoungs Kaano-ano ni Binay si Villar?,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
DJ sana di ka nalang nagendorse ?? https://t.co/PvBiPphiut,1,Filipino,n/a,n/a,n/a,n/a,n/a
Chiz slams VP Binay and LP’s offer for Gordon to file DQ cases against Poe https://t.co/V7fbrj0qIJ,0,English,English,English,English,English,n/a
"Lahat nalang sa AlDub fans sinisisi. Nognog si Binay, kami may kasalanan. Binoboycott ABS, kami. Bagyo at baha kami parin. #MrAndMrsSotto",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"If Duterte won't run for President, I'll go for Santiago and Bongbong tandem as long as they will appoint Duterte as DILG secretary.",0,English,English,English,English,English,English
@cruzjheeen yung last link na sinend ko nandun si Binay :((,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""Mar Roxas is not the first choice, but he's the best choice."" ????",0,English,English,English,English,English,English
"NAKAKATAINGA TLAGA SI MAR ROXAS . Di pwede to . Ganun nalang ba yun pag nakadayaan sa Election at nanalo sya ,... https://t.co/AHTDau4pbl",1,Filipino,English,English,English,English,English
"I'm not into VP Binay or what, but really people? Just because the media and other politicians has something to... https://t.co/VWeEAkXl00",0,English,English,English,English,English,English
Sen. Trillanes accuses VP Binay of lying and trying to deceive public in his TV ad showing… https://t.co/isahD3so85 https://t.co/bKW72V9vEu,0,English,English,English,English,English,English
Quicho: Dito magsisimula ang kampanya ni VP Binay laban sa kahirapan. @PhilippineStar #BilangPilipino,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Basta pag si Poe o si Binay ang nag-anoint ng successor sa 2022 at lahat ng ginagawa nina Mar/Leni now e gawin din nila, OK din sa inyo, ha?",0,Filipino,Filipino,Filipino,Filipino,Filipino,n/a
"Sana yung binoto nyo kay Poe-Roxas-Binay, binoto nyo nalang kay Miriam eh",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""At hindi ko kayo nanakawan."" -- #MarRoxas HAHA BOGUS AD! Can you say desparate??!!? #ELECTIONS2016",1,English,English,English,English,English,English
Nako Mar Roxas!Bakit naging pangalawa ka ??!tsk.tsk. alam na,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Oa lang naman yung mga die hard fans ni dut//erte. Pero kung kay Binay or Mar Roxas ginawa yun matutuwa sila pa sila. :-),0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Tatakbo na si Duterte! So mahahati ang boto sa knila ni Miriam. At the end si Mar Roxas pa mananalo. Haynako! ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Sen. Bongbong Marcos gamely says he can get along with all presidentiables, Binay is also from… https://t.co/HeKJ0H4x1E",0,English,English,English,English,English,English
DUTERTE TILL THE END https://t.co/xZiLv80Yya,1,English,n/a,n/a,n/a,n/a,n/a
"@rapplerdotcom this Allan Cayetano is a disgrace, babbling his mouth since gloria adm regarding Mike Arroyo and proven NOTHING. ?? Zero vote",1,English,English,English,English,English,English
"1 sinungaling, 1 bagito 2 masakitin na matanda, saan ako lalagay? Doon na sa sigurado #MarWithAPlan #RoxasRobredo https://t.co/iA8id5Pi8g",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"In this election period, real image of people were revealed. Very much dismayed to Abscbn, Trillanes &amp; Roxas. Is there in conspiracy behind?",0,English,English,English,English,English,English
BINAY ON ASH WEDNESDAY. GRABE TO #NogNogHambog ?????? https://t.co/JmAoc5yIJO,1,English,n/a,n/a,n/a,n/a,n/a
"RT @aliceyana1: ""Imagine what havoc a #Binay - #Marcos administration can wreak""
Who’s afraid of #2016 ? 
https://t.co/15Wll6rXmZ
#PHVote #…",0,English,English,English,n/a,n/a,n/a
Desperate move Mar Roxas! Jusko. Lumaban ka ng patas! #MARumi,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
buti pa si binay hahahaha,0,Filipino,n/a,n/a,n/a,n/a,n/a
Walang pinagkaiba si Binay sa isang 10 year old na tampururot. Masyadong paawa sa TV ads amp.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Mar, Binay, Poe tigilan niyo na ang paggamit sa taong gutom.
Hindi porket mahirap pwede
niyo n paglaruan ang buhay. https://t.co/i0B2isZCvt",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT kung traffic sa EDSA
LIKE kung hindi mo iboboto si Binay
QT kung ano sa tingin nyo ang laman ng biceps ni Alden
#VoteMaineFPP 
#KCA""",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Medyo pasikat si binay ????,1,Filipino,n/a,n/a,n/a,n/a,n/a
"#AbiasCBN why did you not report on Grace Poe's about the ""hakot buses"" in which passengers are stranded? @ABSCBNNews",1,Filipino,English,English,English,English,English
bakit mas mukhang may  sakit si grace poe kesa kay miriam? sns,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Poe, Binay, Duterte ‘all good’ for Migz
https://t.co/StnnHCaOwG",0,English,English,English,n/a,n/a,n/a
"VP Binay, UNA condemn killing of former councilor of Sto. Tomas  https://t.co/erXBgg6tor | via GMA News",0,English,English,English,English,English,n/a
"Maski mag as one pamo Poe and Roxas, you can't still defeat Duterte.",0,Filipino,English,English,English,English,English
Ang Pagbabalik Binay In Makati,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
alam mo binay alam na naming pandak at nognog ka wag mo na ibroadcast. ??,1,Filipino,English,English,English,English,English
"Mga kandidatong pasok sa opisyal na balota:
For president:
1. BINAY, Jejomar C (UNA)
2. DEFENSOR-SANTIAGO, Miriam... https://t.co/LfwV7AUrV0",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Binay gave us again one reason to not vote for him. #NognogHambog,1,English,English,English,English,English,English
@marohomjam 0o nga. Pero sery0so c binay eend0rse ni alden?,0,Filipino,n/a,n/a,n/a,n/a,n/a
"Visitation of VP Jejomar Binay, Sen. Gringo Honasan &amp; Gov. David Jayjay Suarez, Quezon 1000 Days of Life and... https://t.co/YJvAz3qQBk",0,English,n/a,n/a,n/a,n/a,n/a
Takot na si Trillanes &amp; Roxas. Kaya grabe nalang nila siraan si Duterte ?? Sila kasi unang titirahin ni Duterte if ever na manalo siya eh ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
bakit si roxas ayaw pumunta? di lang kasi boo abutin niya! GO VP BINAY! #binayforpresident #NogNogSinunog #onlybinay https://t.co/zlfei5tORD,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
AlwaysBeThereFor KamZo,0,English,n/a,n/a,n/a,n/a,n/a
"Mar Roxas srsly needs a PR specialist or something. Although, it's rather enlightening, the absurd things coming out of his mouth.",1,English,English,English,English,English,English
ETONG AD NI BINAY NAKAKAINIS. NOGNOG? ALAM NAMIN OY!,1,Filipino,n/a,n/a,n/a,n/a,n/a
Binay tops pre-election survey https://t.co/1IkY9yPm2D | via Eagle News,0,English,English,English,n/a,n/a,n/a
Sa tuwing napapanood ko yung ad ni Roxas at Binay nababadtrip ako taena!,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
REtweet mo kung pabebe si Mar Roxas,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Traffic na naman dito makati haaay binay,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@MicaAncajas because people loves to complain. I VOTE ROXAS #Halalan2016 Mar Daang Matuwid RORO RISING,0,English,English,English,n/a,n/a,n/a
"Roxas &amp; Binay reaching out to the poor, Miriam to the educated, and Poe to...uhm...Comelec daw muna. May kaso pa e. ??",0,English,English,English,English,English,English
Binay is out of his mind.. No VAT for 30k and below earner is such a ridiculous thing you could ever imagine .,1,English,English,English,English,English,English
RT @kimagravante1: pati si binay ideal boy na ng mga babae hahahaha :D,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Grace poe is down in the second rank in the survey #Poe2016,0,English,English,English,English,English,English
Nakita nyo na ba yung Mar Roxas at Miriam Santiago ng San Marcelino? HAHAHAHAHAHAHAHAHAAHAHHAHAHAHAHAHAHAHAHAHAHA,0,Filipino,English,English,English,English,English
Kaya hinding hindi talaga ako boboto sayo Mar Roxas. https://t.co/yybupmzMCR,1,Filipino,English,English,English,English,English
"GUYS HELP ME SPREAD THIS. Dito po sa amin sa Lanao Del Norte, kahit si Duterte ang nilagay, si Roxas ang lalabas. ?? https://t.co/1hYXG0dMvn",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Uh-oh, Poe's lead to Roxas is down to 20,377!!! #Du30 #PHElection2016",0,English,English,English,English,English,n/a
Duterte is running for president. Now this is a sure win for Binay. ??,0,English,English,English,English,English,English
