text,label,language
sinungaling bagito masakitin matanda lalagay sigurado,1,Filipino
election period real image people revealed much dismayed abscbn conspiracy behind,0,English
imagine havoc administration wreak afraid,0,English
desperate move jusko lumaban patas,1,Filipino
pinagkaiba year old tampururot masyadong paawa amp,1,Filipino
tigilan niyo paggamit taong gutom porket mahirap pwede niyo paglaruan buhay,1,Filipino
traffic edsa mo iboboto qt tingin nyo laman biceps alden,0,Filipino
you report hakot buses passengers stranded,1,English
mukhang sakit kesa sns,0,Filipino
good migz,0,English
condemn killing former councilor sto tomas news,0,English
maski mag one pamo you still defeat,0,English
wla nmn kaung mgndang ibinabalita nyo mlloko,1,English
alam mo alam naming pandak nognog mo ibroadcast,1,English
kandidatong pasok opisyal balota,0,English
gave us one reason him,1,English
takot grabe siraan sila kasi unang titirahin ever manalo siya eh,1,Filipino
ayaw kasi boo abutin niya go,1,Filipino
daming yaman hahahahahaha alwaysbetherefor kamzo,0,English
srsly needs pr specialist something although rather enlightening absurd things coming his mouth,1,English
tops pre election survey eagle news,0,English
tuwing napapanood yung nababadtrip taena,1,Filipino
retweet mo pabebe,1,Filipino
traffic haaay,1,Filipino
alam paunladin bansa,0,Filipino
people loves complain daang matuwid roro rising,0,English
reaching poor educated uhm comelec daw muna kaso,0,English
his mind vat earner ridiculous thing you ever imagine,1,English
ideal boy babae hahahaha,0,Filipino
second rank survey,0,English
nyo yung san marcelino hahahahahahahahahaahahhahahahahahahahahahaha,0,English
bunga hilaw pamamalakad hinding boboto sayo,1,Filipino
help spread po lanao del norte nilagay lalabas,0,Filipino
uh oh lead,0,English
running sure win,0,English
sus joke sinabi alam ibabash nyo parin sya,1,Filipino
ikaw sagot kahirapan bansa,0,Filipino
echos mo ika tumigil,0,Filipino
ewan sayo yon sayo mayaman yon ayala,1,Filipino
luko luko abaya anong sabotage ikaw noy aquino nag sabotage mrt,1,Filipino
tingin kwenta hhaaha,1,Filipino
sorry you your running mate,0,English
ma ayaw mo ding ambag eh,0,Filipino
video rep never forgive sen even bother read,1,English
nanligaw botante cavite umaaksyon,0,Filipino
new big nognog trapo,1,English
hahahah sayang boto napunta hahaha magalit kai hahaha sakin yan,0,Filipino
kathniel leads celebrity gathering,0,English
diktador dating she questioned,0,English
disagrees death penalty solution criminality,0,English
transcript interview naia tanim bala,0,English
criticised showing his receipt media,0,English
sila,0,Filipino
narinig niyo bintang kinahinatnan nahatulan,0,Filipino
matapos kahirapan,1,Filipino
iisa entitled bitches,1,Filipino
ibinoto nyo kasi wisely xd kadeee,1,Filipino
nognog pandak magnanakaw gago kang naloloko,1,Filipino
lets honest one pull upset pres,0,English
damn kasi silang dalwa yung tandem pinapahirapan jusko,1,English
drama queen kang,1,English
you hate you hate niyo gets yung debate,0,English
kang mag alala pagnanalo popondohan nya yung business nyong tsinelas korina chill kalang,0,Filipino
karen davila expound,0,English
ginagaya paris yung batang naiyak hahahaha,0,Filipino
puro kalokohan marroxas kang alam sabhn kundi puro panira mo papogi,1,Filipino
nagronda gabi makikita mo siya,1,Filipino
maka roro taas maka roro baba,0,English
magpakatotoo beh corrupt tatay rin,1,Filipino
pakibigyan sila cake,0,Filipino
front page lead narrows latest bw sws survey full story,0,English
nalagpasan nya yung pangungulila yan binabato nyo sakanya,0,Filipino
humabol,1,English
need increase ira th th class municipalities must empower local government units them accountable,0,English
knows number nagpapresscon sana tinawagan niya papansin drama queen,1,Filipino
my turn you verify never mind baka takot,0,English
meanwhile nakakalimutan issues you despite saying,1,English
back politics pagasa pang manalo,0,English
parang gustong palabasin pulitiko magnanakaw,0,Filipino
giniit magpadalus dalos pagtugon isyu tanim bala naia,0,Filipino
gives candies his name bgy nine balayan batangas,0,English
trust ratings gone despite spin he ranks far away third nationally trust ratings wise,0,English
yellowtards action you call decent,1,English
omg already top,0,English
diba pnoy edi kwenta taon nangyare bansa kupal forevs,1,Filipino
ayaw daw kasi baka magka martial law magkagulo kayo nananalo,0,Filipino
gaga he conceded yesterday,1,English
tanong po siya mahalal pangulo mandatory patigilin korapsiyon,0,Filipino
nalupet rin dulo lumalaban alam talo siya,0,Filipino
bumoto family,0,Filipino
nagtatanim bala napoles kayo pong bahala,0,Filipino
dont dots laaaffhhdhfhdhdj hard blackie whyyy,1,English
abolish good pro poor program,0,English
sama sama tayong isulong ginhawa pamilyang pillipino,0,Filipino
magkano ibinayad ienderso ya reasons,0,Filipino
taon akong pinagtutulungan,1,Filipino
naiinis advertisement nognog daw tayong lol ikaw,1,Filipino
sige buhat bangko hidhid rin,1,Filipino
argument my mother rn,0,English
bsta ah voting,0,English
ayan nanaman linya pwe,1,Filipino
matulog number katapos matulog number,1,Filipino
appearance sen gov david jayjay suarez distribution,0,English
abscbnnews information filed expiration his term ombudsmanph,0,English
hahaha loko parang ganun sige jan mo hanapin mo yan,0,Filipino
mr sakaling maisip mo mag concede baka skaling matira pang pagmamahal sayo taong bayan,1,Filipino
gotta fuckin kiddin meeee,1,English
kanina yang sasakyan nagpapatugtog dinami rami pwedeng lss haay nakakasira weekend ha,0,Filipino
yung naiinis plastik,1,Filipino
kampo naghain motion reconsideration kaugnay isinamapang kaso ombudsman allan francisco,0,English
mananalo shut,1,English
kunwari aber tinawag american girl,1,Filipino
she affected girl tag given her hey marv,0,English
sakit isipin nauungusan,1,Filipino
bsaquino panic attacks unity call vs confirmed amanchurian lp jumps gun,1,English
simula huling debate pagka pangulo ipanalo gobyernong puso,0,Filipino
papalit one direction one direction,0,English
ayaw natin gobyernong manhid,0,Filipino
phl business conference lists priorities cut rates narrow infra gap lick poverty,0,English
ayoko panuorin tong replay nairita lalo puta,0,Filipino
dont wanna political analyst real quick nakakahiya ata pinag gagawa aquino gradeschool moves,1,English
wks he got booed sinulog strikes welcome tarp iec mass yesterday,0,English
baka masira tong namen,1,Filipino
rep confirms she run mayoralty race last minute family decision,0,English
tvc sinisiraan,0,Filipino
they bare hand eating unhygienic they smiling also,1,English
dismissed mayor sinampahan bagong plunder complaint office ombudsman ny,0,English
maroxas camp ppcrv apologize,0,English
antics meant cover preparations fraud real news today hundreds vcm technicians replaced last minute,1,English
condonation doctrine ginamit depensa mayor ibinasura korte,0,English
survey poverty proof non inclusive growth,0,English
senmiriam cover maiden issue gavel robe magazine philippine law lawyers,0,English
god please give us leaders believe you ht,0,English
my uber driver asked presidente answered,0,English
nakakalungkot etc die anytime though,1,English
romualdez cousins supporting,0,English
enrile announces he birds feather good feather duster,0,English
uy nag submit candidacy disqualified psst daw sya oh ha ha ha jk,1,Filipino
mlapit undecided prin my next wooh hirap ayoko tlga,0,English
weigh controversial canada trash,0,English
saying him presumptuous elite people decide run,0,English
magsasawa haaa team,0,Filipino
pagkakaiba pilit nagpapaliwanag ayaw magpaliwanag makapagpaliwanag sana,1,English
instructed bei fall line wait her turn,0,English
daming political nakakairita,1,English
natatawa dun yung nognog,0,Filipino
pakisagot po muna yung allegations nyo senate you complain pinagkakaisahan po kayo thanks po,1,Filipino
versus compare contrast their achievements,0,English
feeling turning people purpose,1,English
plastic nangangandidato lalo,1,Filipino
duro kinaya everbileni,0,English
percent certain change he lifelong thief plunderer,1,English
nakikitang mali anti srsly ayawsadilaw,1,Filipino
them good pray ask enlightenment helps also go someone delivers talks,0,English
cries foul report alleged dummy bank accounts,0,English
graft corruption tells students,0,English
ginamit tingin nya kakaawaan sya makuha simpatya tao,0,Filipino
sorry womanizer trashtalker killer still go,1,English
spent television electoral adverts he said money came friends supporters,0,English
expects amid ratings rise,0,English
reminder nangongopya kasi hugot drama pasiga siga trabaho po,0,English
you inc you endorsing you,1,English
traffic quiapo bata presidente mawawala magnanakaw boboto eh,0,Filipino
friday th sinabi mamang especially nancy crush,0,Filipino
buti reject yung offer hahaha alam gagamitin lag siya niyon sakali eh,0,Filipino
fairness nagpapaka mayor,0,Filipino
magiging susunod pangulo itutuloy daw nya corruption news ulul,0,Filipino
your call unity describes one thing selfishness you deserve,1,English
okay kesa,0,Filipino
nognog nognog nagmamalasakit ayaw siya nagmamalasakit saming tisoy nakaka sad,0,Filipino
raw naproklamang extended daw,1,English
agree prez nya scary,1,English
nyo siraan ganyan idol,1,Filipino
honestly naaawa alam yung story nya lol,0,Filipino
starting believe created public service they created cult instead,1,English
heard radio almost stabbed,1,English
rep agree full transparency becomes deterrent efficiency you sacrifice basic services needed city,0,English
pera pera yan alam nyo ha,1,English
happier switch places either polls happiest she became,0,English
proclaimed datu lanao sultanate,0,English
bea mom you dont diba madami siyang tinutulungan hahahahahahahahahahahahahahahaha,0,English
belies crowd sinulog booed,0,English
wasting his time trying bring ayaw tawn siya pansina,1,English
teacher nancy kuhang kuha maam,0,English
ung nag dala eh,0,English
yung report regarding pambabastos daw students uplb mali mali pwe,1,Filipino
kinabukasan nag iisa,0,Filipino
ala hitler alam kurakot isyu walong araw matapos ikalawang,1,Filipino
nakaiyak story,0,Filipino
campaign slogan pnoy noong nakaraang eleksyon kinuwestyon allan francisco,0,English
sana manalo,0,Filipino
problem his elitist problem her neophyte,1,English
magkaiba nognog,0,Filipino
bwisit bastos pulling,1,English
dear makaramdam pedeng ipapakita yung tvc mo nakakasawa ho,1,English
he personifies bayan attribute,0,English
oo ikaw nognog naiinggit kulay mo,1,Filipino
punyetang namang punyeta,1,English
takes special someone reasonable classy gentleman nice job possible,1,English
kwento mo galit yo simula nung paglamatay,1,Filipino
preschool top disciplined polite active best storyteller,0,English
sobrang pagka dinoble tinawav syang nognog,1,Filipino
arrogance might call arrogance avarice lust power catelyn stark describing lannisters,1,English
rather pls,1,English
nandito klase,1,English
hoy gago bumoto pangulo mo charot,1,Filipino
ancalerts wouldo cheapen presidency tells camp,0,English
manalo eleksyon laya agad sina jinggoy estrada bong revilla rin makulong pnoy,0,Filipino
plot twist sen ibibigay boto,0,Filipino
ipagpatuloy daang matuwid voters iboboto shut,1,Filipino
morales she reliable source prove pressured coa delay report,0,English
naglapana naka orange maynila akala kampanya wait pinagkaiba,0,Filipino
beauty power power beauty words powerful lage,0,English
napunta huhuhu,0,Filipino
man manalo yung bet,0,Filipino
inc kath bernardo tas nag endorse whoot,0,English
mayor junjun visiting wake lolo kumpadre,0,English
citizenship wealth actions words health,0,English
buti presidente kundi patay snatcher,1,Filipino
actually looks nidora hahaha,0,English
interview uplb forum form act gain sympathy popularity,0,English
toughest opponent said everybody game already organized campaign long,0,English
dzrh exit polls percent percent percent,0,English
shrugs chance meeting surprising,0,English
palasyo pumalag paninisi case mariing inalmahan malaca paninisi,0,Filipino
mag withdraw kana lorna tolentino lmao,1,English
umay paid mo sir garapalan,1,Filipino
nababahala nangunguna election surveys,0,Filipino
nasilaw perang bayad voted pls count,1,Filipino
responsible filipino kang mauuto mananalo,1,English
another reason hate,1,English
nmn tlga khit gnun mdmi prin sumosuporta,0,Filipino
forget ayala skyline beyond,0,English
nagbigay orasan samin muka wtf,0,Filipino
my personal ranking presidentiables nothing follows,0,English
still leads percent votes coming overtakes second,0,English
call unity call decency call democracy he consider stepping early,0,English
rin sws survey patas pangalawang pwesto bombo radyo,0,Filipino
lead serve let choose servant leaders thieves tyrants eq post,0,English
sobrang laki hacienda buong pamilya siguro nangungurakot,1,Filipino
rampage timeline hahah,1,Filipino
really fight hhmnbn good shall prevail,0,English
nation kick campaign mandaluyong news,0,English
inang bayan,0,English
pnoy obviously ones behind attacks vs anyone still otherwise,0,English
you embarrassing idiot,1,English
bumoboto,0,English
katapusan ama,0,Filipino
hahahahaha tatag trabaho non pre mahirap dinanas pacquiao hahaha,0,Filipino
teritoryo yun haha,0,English
wth never surveys somethings fishy,1,English
nakilala kaming nognog,1,Filipino
let give power save poverty,0,English
big problem iloilo september poll survey province showed he garnered percent,0,English
he friend gerry limlingan aide ebeng baloloy,0,English
dami bumabatikos wlang sinuman makapag pabagsak taong tumutulong atras,0,Filipino
dati galit galit kasi pina suspend sya tapos sila sila magkakampi pinas nman,0,Filipino
feeling tuloy presidente isisisi nya lng kapalpakan gobyerno nya hahaha,0,Filipino
okay kesa,0,Filipino
yabang mo panay parinig mo kalaban booooooo,1,Filipino
niyong eboto maawa kayo pilipinas,1,Filipino
cking joke sigurado syang mananalo election,1,English
tapos you choose you day sorry clueless,0,English
nyang gawin magagandang bagay bayan,0,Filipino
world lol nakakaimbyerna,1,English
big joke yung sinabi pres raw siyang alam invited raw siya assoc pagpapapunta,1,Filipino
ganun sana baller sinuot nakalagay mr rxzx kasi balota noh,0,Filipino
kinokondena natin sakim makasariling taong nambibiktima kababayan,1,Filipino
pamatong looney chance getting elected alternative,0,English
nognog pandak dami paring nanakaw yan,1,Filipino
identify known lot mention,0,English
fak even using hashtag disgusts still undecided,1,English
nognog pandak laki hirap siya nanggaling planet yekok,1,Filipino
shet relate pandak,0,Filipino
senatorial bet allan monta gamely shakes finger curtain raising speech,0,English
integrity experience putting self definitely,0,English
thought matino tong im beginning he behind props vs excluding yet,1,English
one else tropang paul maraming salamat po,0,English
he first demand accountability found liable court corruption,0,English
three sc justices including nancy voted disqualification sen ground,0,English
foreign investor community scared presidency predicts they might stay away he wins,0,English
gets american political strategists,0,English
you define corruption,1,English
lol diba manalo choosing srsly,0,English
magiging presidente sana unahin nyang ayusin umak tapos tanggalin nya sana prof nagtuturo,1,Filipino
korni hahahahah,1,Filipino
juice po manny pla traffic navotas halos bumyaheng jeep gabi sila,1,Filipino
malalim pngsamahan nio bat parang affected mo close kayo,1,Filipino
mercado owned dummy firms alleged bagman claims,0,English
mendoza pang napapatunayan,0,Filipino
unfair mag express opinyon,0,Filipino
lp standard bearer namimili umano boto ayon kampo allan francisco,0,Filipino
story happened tacloban mayor alfred romualdez updated,0,English
sana tumakbo kana next election sayang boto maglalaban kayo,0,Filipino
naligo nag post fftb papansin tularan,0,Filipino
sacks evidence lying pol,0,English
rin nognog pandak mahirap ikaw ikaw,1,English
sana ikaw nlang bukidnon sana delayed kanina byahe commuters kawalan bus,0,Filipino
leading spender poll camp,0,English
nasa buhi camarines sur probinsya letse probinsya nanloloko loko,1,Filipino
budol budol gang aabot eleksyon butete laki tyan tong kainpamore,1,Filipino
yolanda rehabilitation mismanaged ipinagmamalaki percent years disaster terms management,0,English
ironic campaigning corruption way successful him withdraw his candidacy,1,English
team starts their campaign nasugbu batangas,0,English
manalo po,0,Filipino
nakakatawang isipin nagpapakahirap sila fvck brgy sta maria,1,Filipino
early you he really please resign member lp you supporting named,0,English
headline day equalizer post versus compare contrast their achievements,0,English
time you enjoy wasting wasted time,0,English
puro kayo sandro sakin andyan yung anak oy,1,Filipino
news hit blaming shelter woes manila standard,0,English
wouldi magnanakaw ugly his face near camera he handsomest guy,1,English
give you cheat you ll destroy open letter,1,English
kaming klase salamat,0,Filipino
moot his dismissal ca junks junjun petition vs nd suspension order,0,English
find desperate,1,English
safe one least according catholic church mayors she converted,0,English
stand watching nognog contrived hope he keep simple lay his platform instead,1,English
tangina oh rin yan iboboto lss kanta niya,1,Filipino
bobo duwag takot abusadong telcos,1,Filipino
shame disgrace,1,English
you find presidency amusing acceptable matalo your trading interest your entertainment,1,English
sawang sawa face grabe dami tvc,1,Filipino
new they using kids bla bla seriously you protecting kids your image hypocrites,1,English
shet hahaha close sanang humabol,1,Filipino
tapos term republic philippines raf alliah rin,0,English
memory problems dinaya tatay nya nung ninakawan bansa,1,Filipino
nakakatakot eh subrang desperado masmalala,1,Filipino
hits saying he never abandoned his he failed realize plundering act abandonment,1,English
believe votes,1,English
pay lp sanamagan,0,English
akala nasa pera ayon nancy hmmm nakalikom agad sila supporters,0,English
please shown much corruption please slam him please,1,English
saddened veto,0,English
natatakot oo set discover,0,Filipino
ngbago ganun parin kasipag kabait pilipino,0,Filipino
comparing notes earlier breakfast mtg bcbp almost everyone,0,English
full speech speech his miting de avance,0,English
nako natutuwa patawa palagi silang bully tao rin siya masakit,0,Filipino
mo bolahin kasi hinding prowomen,1,English
nancy vs her anc alerts,0,English
boto naten mangurakot man taga batangas ahahah aayusin nyan batangas,0,Filipino
isabela governor powerful political dynasty endorses gov faustino dy iii powerful dy,1,English
yun yun sumagi utak ingat ingat tumatawid putik chairs sya naggagaganyan,1,Filipino
nognog wouldi dr alvin,0,Filipino
never trust reason they hold big positions office contributed adequately,0,English
sobrang kapal mukha putangina,1,Filipino
sc urged remove boy scouts,0,English
wins historians fucked us big time,1,English
alam mo pinagkaiba nognog,1,Filipino
also people remember post yolanda housing turf he failed miserably regard,0,English
deped netizens pumalag umani batikos kampanya marawi lanao del salman ali,0,Filipino
cheapen presidency tells camp,0,English
walay martial law mahitabo you incompetent weak,1,English
tinutukan kahirapan kumpara ibang puro pangungukakot iniintindi,0,Filipino
kang susuko ha,0,Filipino
give fight realize he need withdraw you better him waste your fight,0,English
wtf pumapangalawa ayan mukang totoo ngang napupunta,1,Filipino
immediate substandard thosr dont balls she sick,0,English
ginutom mo tacloban ibinigay sakanila kang kwenta,1,Filipino
pre judge inc leaders,0,English
let people decide let pcos machine decide,1,English
ayaw kasi boo abutin niya go,1,Filipino
stand political campaign,0,English
romblon guv lolong firmalo scores photo,0,English
his votes go,0,English
panuorin tapatan nina mike enriquez ilang sandali,0,Filipino
dont bash dj supporting thats his decision let,0,English
knock knock long day without you my friend,1,English
another political advertisement,1,English
patuloy kahirapan maling pamamahala,0,Filipino
lumad march home hq protest series ip killings yrs tuwid daan http,0,English
he even lift poverty his family years rule whole philippines,1,English
wow supporting,1,English
ganon yung boto taas nataasan boss nognog,1,Filipino
gising pinas ikampanya natin pinakamahusay tambalan bayan,0,Filipino
immune suit,0,English
kawawa,0,English
wins dont want live anymore give incurable kabobohan,1,English
taas pls,0,English
wtf nangangamoy dayaan,1,Filipino
already successful kid waaay,0,English
time my,0,English
mka highblood advertisement,1,English
uhmm none nothing breaks my heart my feed except rating oversized billboard,1,English
winter soldier,0,English
baket sbi daang matuwid daw baket baguio paliko liko matuwid,1,Filipino
nanamang,1,English
madali dayain magaling magprogram specialist tama possible,0,English
malaya headlines friday aquino lashes invited edsa rites,0,English
image woulduterte lawyer votes went vcm testing daya,1,English
good lord you putting faith god kalma,0,English
version sad hear nothing happened him sad hear him,0,English
described gerry limlingan his best friend despite their close ties said he idea he,0,English
drama trabaho sir you supremely good acting,1,English
advisers they re match puno,0,English
he indeed threat democracy corrupt democracy commented threat democracy,0,English
manalo,0,English
gwen still supports bet despite his fallout one cebu read here,0,English
kahapon good news bad news saya po,0,Filipino
greet chilean mexican presidents apec,0,English
hay pilipino huhu,1,Filipino
approves bid he won endorse,0,English
camp aware amlc report alleged infra kickbacks,0,English
hi bagay kayo pare,0,Filipino
you filipino concern bayan mo please share naka set ung voting,1,English
tanggap mirriam next lutong luto,1,Filipino
tanong sayo desperada kasi sorry sorry,0,Filipino
nag tuturo po teacher bobo aral ulit,1,Filipino
playing safe,1,English
pinakahuli sila yung nandun,0,Filipino
puro pasaring parinigan parang kalalaking tao putak putak kairita,1,Filipino
natin pangulong nagtatago gaya mamasapano naninisi nalilito krisis,0,Filipino
aquino confident his administration candidates coming,0,English
desperado kampo pnoy magsama sama sila grabe,1,Filipino
sex objects kababaihan,0,Filipino
paulit ulit puro paawa yan kada ipinapalabas,0,Filipino
halloween want dressed fucking take your lunch money still smile reluctantly nothing happened,1,English
kundi daya,0,Filipino
let unite bae nope,1,English
isabela radio interview yong nangangako nagawa ho yon nakuha mo,1,English
hahahahahaha ganyan ganyan,0,Filipino
actually latest campaign well thought intended his target voters,0,English
your face tangina mo offense though,1,English
oh sorry afford even voluntarily lastcard,1,English
ngislo mo puro nognog,1,English
iboboto mame,0,Filipino
far fishers concerned longer contention race since day,1,English
itigil pamumuno lp kasama mahilig slogan tuwidnadaan maramdaman,0,Filipino
nognog siya nagbigay liwanag really,1,Filipino
classmates mo yung binu bully bully lagi yung siga siga nakakatakot yung,1,English
choose aspect makikita alagad satan kumaliwa,1,Filipino
nag tunay pagbabago daya mgyari yun kodeta ulit,1,Filipino
law firm belies report sending pm hk,0,English
scary problematic ballots show votes going,1,English
malamang nanalo dadalihin sya social media oh,0,Filipino
needs hire image consultant best pr team win presidency he needs rid korina,1,English
nagpopost siya facebook niya nililike yung post tanga tularan,1,Filipino
lumpo pandak laki hirap maraming nagawang korupsyon putanginang,1,Filipino
kala nasa mcdo kayo dun hahaha mala balat hahahaha,1,Filipino
quicho sen trying deceive people saying cases already filed vs complaints cases,1,English
junjun naniniwalang makakabalik siya pwesto mayor,0,Filipino
tanong po po tunay disente yung naninira sinisiraan pakisagot po hehe,1,Filipino
knives attack rape joke,0,English
hay nako mo kayang banggitin umampon sayo,1,Filipino
nakakabeast mode,1,Filipino
camp sugar coating diversionary tactics cover glaring facts,0,English
bias niyo ilabas yung baho ekis,1,Filipino
meron tayong junjun nancy siblings hay,1,English
palakpakan natin she braved something even sumasagot issues http,0,English
nog nog laki hirap laging bilad araw yan,1,Filipino
makapal mukha korap,1,Filipino
daldal nya maituwid paningin nya daan,1,Filipino
calling presendiables their supporters masama,1,English
alam iwanan isabela,0,Filipino
haha jollibee jfc,0,English
matanggap nauunahan wouldi makatarungan,0,Filipino
tinalo micronutrient deficiency bear brand belo touches my skin tagline belo,0,Filipino
lp funded sure cheat way presidency he win honest election,1,English
wahahaha wait try ung wahahagagagaga,0,English
style defends allegation anti conspiracy,0,English
meron yung ineendorse eh,0,English
yung andito sen hinanap ivan mayrina bwahaha,0,Filipino
sasampalin nyo lp nka isip nyang yan nakatulong karma agad,1,Filipino
amputa sarap sampalin galing magmalinis umasang manalo ulol,1,Filipino
sana yung galit sarcasm inis niyo ganon pang kawatan iisipin balukt,1,Filipino
hk ofw claims her counted ofw claims her came,0,English
et al early campaigning,0,English
he knows limlingan physical condition his whereabouts,0,English
daw nangyari mmk sorry pinanood kasi standard bearer eh drama,1,English
yiz shall schedule still kasi everyone akey mwahahahaha,0,English
remembering alam yan okay yan uplb forum never said you he might,0,English
waiting latest news going decided said,0,English
haha xd makakabisado ata yun ahhh,0,Filipino
fyi nognog mo making idamay mo,0,Filipino
tanga boboto padin,1,English
